category,question,difficulty
HR,Tell me about yourself.,Easy
HR,Why should we hire you?,Easy
HR,What are your strengths?,Easy
HR,What are your weaknesses?,Easy
HR,Where do you see yourself in 5 years?,Medium
HR,Why do you want to join our company?,Medium
HR,What motivates you?,Easy
HR,Describe your dream job.,Easy
HR,How do you handle pressure?,Medium
HR,Why did you choose MCA?,Easy
HR,What are your career goals?,Medium
HR,What makes you different from others?,Medium
HR,Describe a challenge you faced.,Medium
HR,How do you prioritize tasks?,Medium
HR,What are your hobbies?,Easy
HR,Are you willing to relocate?,Easy
HR,Why should we not hire you?,Hard
HR,Describe yourself in one word.,Easy
HR,How do you handle criticism?,Medium
HR,What is your biggest achievement?,Medium
