category,question,difficulty
Behavioral,Describe a time you solved a difficult problem.,Medium
Behavioral,Tell me about a conflict you handled.,Medium
Behavioral,Describe a leadership experience.,Medium
Behavioral,How do you work in a team?,Easy
Behavioral,Tell me about a failure and what you learned.,Medium
Behavioral,Describe a stressful situation.,Medium
Behavioral,How do you manage deadlines?,Easy
Behavioral,Tell me about a time you adapted to change.,Medium
Behavioral,Describe a difficult decision you made.,Hard
Behavioral,How do you resolve disagreements?,Medium
Behavioral,Tell me about a successful project.,Easy
Behavioral,Describe your communication style.,Easy
Behavioral,How do you handle feedback?,Easy
Behavioral,Describe a time you exceeded expectations.,Medium
Behavioral,What would teammates say about you?,Easy
Behavioral,Describe a mistake you made.,Medium
Behavioral,How do you motivate others?,Medium
Behavioral,Describe your problem-solving approach.,Medium
Behavioral,How do you deal with uncertainty?,Hard
Behavioral,Describe a situation where you showed initiative.,Medium
